,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.signQ,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.signQ,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.signQ,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,batebs_expanded.P,loadebs_expanded.P
0,0,0.0,2500.0,4.0,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,63.0,4.000000000000001,67.0,1.0,0.0,73.0,4.000000000000001,77.0,0.0,0.0,0.0,0.0,63.0,4.000000000000001,67.0,0.0,8.19672131147541e-06,-0.5301639344262296,-11218.350983606559,0.0,11218.350983606557,0.0,0.0,0.0,0.0,0.0,-11218.881147540984,11218.881147540984,-11218.881147540984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5301639344262296,-11218.350983606559,0.0,11218.881147540984
1,1,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,73.00000000000001,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,63.0,3.999999999999999,67.0,0.0,0.0,73.00000000000001,3.999999999999999,77.0,0.0,0.0,0.0,0.0,63.0,3.999999999999999,67.0,0.0,8.19672131147541e-06,-0.5301639344262296,-10904.400163934428,0.0,10904.40016393443,0.0,0.0,0.0,0.0,0.0,-10904.930327868853,10904.930327868853,-10904.930327868853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5301639344262296,-10904.400163934428,0.0,10904.930327868853
2,2,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.00000000000001,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,63.00000000000001,3.999999999999999,67.0,0.0,0.0,73.0,3.999999999999999,77.0,0.0,0.0,0.0,0.0,63.0,3.999999999999999,67.0,0.0,2.0491803278688526e-06,-0.1325409836065574,-10732.215819672132,0.0,10732.215819672132,0.0,0.0,0.0,0.0,0.0,-10732.348360655738,10732.348360655738,-10732.348360655738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1325409836065574,-10732.215819672132,0.0,10732.348360655738
3,3,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,63.0,3.999999999999999,67.0,0.0,0.0,73.0,3.999999999999999,77.0,0.0,0.0,0.0,0.0,63.0,3.999999999999999,67.0,0.0,0.0,0.0,-10674.659836065573,0.0,10674.659836065573,0.0,0.0,0.0,0.0,0.0,-10674.659836065573,10674.659836065573,-10674.659836065573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10674.659836065573,0.0,10674.659836065573
4,4,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,62.999999999999986,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,62.999999999999986,3.999999999999999,67.0,0.0,0.0,73.0,3.999999999999999,77.0,0.0,0.0,0.0,0.0,63.0,3.999999999999999,67.0,0.0,2.0491803278688526e-06,-0.1325409836065574,-10516.762950819671,0.0,10516.762950819671,0.0,0.0,0.0,0.0,0.0,-10516.89549180328,10516.89549180328,-10516.89549180328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1325409836065574,-10516.762950819671,0.0,10516.89549180328
5,5,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,63.0,3.999999999999999,67.0,0.0,0.0,73.0,3.999999999999999,77.0,0.0,0.0,0.0,0.0,63.0,3.999999999999999,67.0,0.0,0.0,0.0,-10500.77868852459,0.0,10500.77868852459,0.0,0.0,0.0,0.0,0.0,-10500.77868852459,10500.77868852459,-10500.77868852459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10500.77868852459,0.0,10500.77868852459
6,6,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,63.0,3.999999999999999,67.0,0.0,0.0,73.0,3.999999999999999,77.0,0.0,0.0,0.0,0.0,63.0,3.999999999999999,67.0,0.0,0.0012438524590163936,-80.45237704918033,-10703.359098360655,0.0,10703.359098360657,0.0,0.0,0.0,0.0,0.0,-10783.811475409837,10783.811475409837,-10783.811475409837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.45237704918033,-10703.359098360655,0.0,10783.811475409837
7,7,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,73.00000000000001,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,63.0,3.999999999999999,67.0,0.0,0.0,73.00000000000001,3.999999999999999,77.0,0.0,0.0,0.0,0.0,63.0,3.999999999999999,67.0,0.0,0.036772540983606564,-2378.4479508196723,-8437.701639344263,0.0,8437.701639344263,0.0,0.0,0.0,0.0,0.0,-10816.149590163934,10816.149590163934,-10816.149590163934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2378.4479508196723,-8437.701639344263,0.0,10816.149590163934
8,8,0.0,2499.9999999999986,3.9999999999999982,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,63.0,3.9999999999999982,67.0,0.0,0.0,73.0,3.9999999999999982,77.0,0.0,0.0,0.0,0.0,63.0,3.9999999999999982,67.0,0.0,0.15173975409836066,-9814.527295081967,-841.5095901639345,0.0,841.5095901639344,0.0,0.0,0.0,0.0,0.0,-10656.036885245901,10656.036885245901,-10656.036885245901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9814.527295081967,-841.5095901639345,0.0,10656.036885245901
9,9,0.0,2499.9999999999977,3.9999999999999982,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,63.0,3.9999999999999982,67.0,0.0,0.0,73.0,3.9999999999999982,77.0,0.0,0.0,0.0,0.0,63.0,3.9999999999999982,67.0,0.0,0.3207190082644628,-20744.105454545454,11442.62799552906,11442.627995529057,0.0,0.0,0.0,0.0,0.0,0.0,-9301.477459016394,9301.477459016394,-9301.477459016394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20744.105454545454,11442.62799552906,0.0,9301.477459016394
